row_id,interaction_id,span_index,span_id,expected_project_id,expected_project_name_contains,expected_decision,notes,tags
cll_06E3HG24Q9YM7BGK44NCQRV2Z8_s0,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,0,,,Woodbery,,"Flynt: hey i pulled up that japanese siding you asked me about / looked at it online i see what it is / but unless it's really gotta be knotty / Flynt: i can probably get this accoya wood that's just about the same thing / Zack: yeah the homeowner just wants a really natural looking wood she doesn't want painted cement board / Flynt: thermal wood? / Zack: yeah it's more brownish in color / (379 words — japanese siding, accoya wood, thermal wood, homeowner wants natural black look not painted cement board)",subset:woodbery_gt_project
cll_06E3HG24Q9YM7BGK44NCQRV2Z8_s1,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,1,,,Woodbery,,"Zack: it might be too niche-y for any big vendor... i might have to find some random small direct to consumer vendor / Flynt: i'll check it out here in the next week or so / it reminds me a lot of solar thermal / Zack: it's giving you the rot resistant bug resistant aspect of it / Flynt: where they dry it in the kiln all the stuff out of the wood where bugs aren't getting into it / Zack: yeah okay thanks blaine / (397 words — continuation of siding sourcing discussion, rot/bug resistance, kiln-dried wood — same project as span 0)",subset:woodbery_gt_project
cll_06E379H5W9WY581M5W62M05TRG_s0,cll_06E379H5W9WY581M5W62M05TRG,0,,,Woodbery,,"Zack: hello shailen / Shayelyn: hey zach i couldn't hear you sorry / Zack: i don't have great service at windships but / Shayelyn: did you see my text with that photo / Zack: let me look / is it you know for the gutter to attach to or something else / Shayelyn: sent emails to greg last night / (274 words — Zack at Winship jobsite calling Shayelyn Woodbery about her project, photo of gutter detail, emails to greg, multi-project span: location=Winship but topic=Woodbery)",subset:woodbery_gt_project
cll_06E379H5W9WY581M5W62M05TRG_s1,cll_06E379H5W9WY581M5W62M05TRG,1,,,Woodbery,,"Shayelyn: gutter to attach to or something else so we'll just see what he says / Zack: i sent tile footages early this morning / Shayelyn: sent it to daniel he's out of the office / assume he'll send us pricing next week / Shayelyn: watching meg walk down the driveway with her horse / also i got robin's invoice i will look through it and get you a check on monday / (258 words — tile footage pricing from Daniel, robin's invoice + check Monday, personal moment with horse — clearly Woodbery project business)",subset:woodbery_gt_project
cll_06E46MKR29Y9X81BK52JJAM9TG_s0,cll_06E46MKR29Y9X81BK52JJAM9TG,0,,,Woodbery,,Three by six timber stuff... did she say anything about...,subset:woodbery_gt_project
cll_06E46MKR29Y9X81BK52JJAM9TG_s1,cll_06E46MKR29Y9X81BK52JJAM9TG,1,,,Woodbery,,If she does not want those timbers to go all the way in,subset:woodbery_gt_project
cll_06E47E38KNSG5909WX2JDDENHC_s0,cll_06E47E38KNSG5909WX2JDDENHC,0,,,Woodbery,,Over here at enterprise... been on the phone,subset:woodbery_gt_project
cll_06E47E38KNSG5909WX2JDDENHC_s1,cll_06E47E38KNSG5909WX2JDDENHC,1,,,Woodbery,,Inside the porches... I kinda feel like that's...,subset:woodbery_gt_project
cll_06E47E38KNSG5909WX2JDDENHC_s2,cll_06E47E38KNSG5909WX2JDDENHC,2,,,Woodbery,,She needs to decide... architect dictate it... tongue and groove,subset:woodbery_gt_project
cll_06E47GAKDDSJV92AFZ3VNSQX3C_s0,cll_06E47GAKDDSJV92AFZ3VNSQX3C,0,,,Woodbery,,Can i call you back in like five minutes,subset:woodbery_gt_project
