row_id,interaction_id,run_interaction_id,span_selector,resolved_span_id,resolved_span_index,expected_project_id,expected_project_name_contains,expected_decision,actual_project_id,actual_project_name,actual_decision,actual_confidence,actual_prompt_version,actual_model_id,actual_reason_codes,actual_reasoning,char_start,char_end,has_expectation,is_correct,error,notes,tags
gt_0004,cll_06E3K1VVKNT435XKDTRBNB8QD0,cll_06E3K1VVKNT435XKDTRBNB8QD0,span_index:0,997451f9-4e04-46ac-b4ad-8c3e984d8a99,0,,none,none,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,assign,0.920,v1.12.0_world_model_facts,claude-sonnet-4-20250514,,"This is a brief scheduling conversation between HCB staff (Zack Sittler) and contractor Tony Araujo about meeting timing. No project-specific content, addresses, client names, or project identifiers are mentioned in the transcript. deterministic_homeowner_override_gate: forced assign to homeowner project 310a3768-d7c0-4e72-88d0-aa67bf4d1b05 (prev_decision=none, prev_project=null).",0,1054,true,false,,,
gt_0005,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:0,8073ac3c-d515-4f92-ab7c-b861e7dcc7f1,0,,winship,assign,d8091a15-6a69-4634-8d5b-117abea35aa6,Permar Residence,review,0.800,v1.12.0_world_model_facts,claude-sonnet-4-20250514,"{quote_unverified,weak_anchor,ambiguous_contact}","The conversation discusses flags set around a house that impact septic tank placement, which directly matches the Permar Residence journal entry about flags not being 100 feet from the house being a problem. The mention of 'her property' and 'she' suggests a female property owner, matching Debbie Permar as the client.",0,2097,true,false,,,
gt_0007,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:0,85dfcf80-4427-4735-90a6-38a2c473695b,0,,woodbery,assign,,,none,0.200,v1.12.0_world_model_facts,claude-sonnet-4-20250514,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript discusses Japanese siding and thermal wood options between HCB staff (Zack Sittler) and a trade contact (Flynt Treadaway). No project names, addresses, or client names are mentioned. Flynt is a floater (fanout=5), providing anti-signal for attribution. The conversation appears to be general material sourcing discussion without specific project context.",0,2030,true,false,,,
gt_0008,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:1,d3aab40c-3994-48c0-a6d4-78e4eac11c3c,1,,woodbery,assign,,,none,0.150,v1.12.0_world_model_facts,claude-sonnet-4-20250514,"{quote_unverified,weak_anchor,ambiguous_contact}","This transcript discusses specialized wood treatment products (solar thermal, rot/bug resistant materials) between Zack Sittler (HCB staff) and Flynt Treadaway (floater contact). No project names, addresses, client names, or specific project identifiers are mentioned. The technical discussion about wood treatment materials is too general to attribute to any specific project.",2030,4060,true,false,,,
gt_0009,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:0,b6b49cf5-227a-43c7-b19b-eae23d18c1d1,0,,winship,assign,,,none,0.150,v1.12.0_world_model_facts,claude-sonnet-4-20250514,"{quote_unverified,weak_anchor,ambiguous_contact}","This is a technical construction conversation between HCB staff (Zack Sittler) and a floater contact (Flynt Treadaway, fanout=5) about door installation and trim work. The discussion focuses on construction techniques with no specific project identifiers, addresses, client names, or project aliases mentioned. The caller is a floater (anti-signal for attribution) and the conversation contains only generic construction terminology.",0,1359,true,false,,,
gt_0010,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:1,8adeed9e-c9c7-4a97-8bbd-db612aa1338a,1,,winship,assign,d8091a15-6a69-4634-8d5b-117abea35aa6,Permar Residence,review,0.350,v1.12.0_world_model_facts,claude-sonnet-4-20250514,"{weak_anchor,ambiguous_contact}","Project-related conversation about door installation issues, but no explicit project identifiers in transcript. Contact is floater (fanout=5) providing no identity signal.",1359,2718,true,false,,,
gt_0011,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:0,cb443f65-36c2-4eea-8300-64182e9a17c0,0,,winship,assign,,,none,0.150,v1.12.0_world_model_facts,claude-sonnet-4-20250514,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript discusses a damaged door jamb on a double hung door with transom, but contains no project-specific identifiers. Jimmy Chastain is a drifter contact (fanout=3) requiring transcript grounding, but no project names, addresses, client names, or known aliases appear in the conversation.",0,1741,true,false,,,
gt_0012,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:1,b525ba53-9bb6-43ea-873a-ed04fa0e9c59,1,,winship,assign,,,none,0.200,v1.12.0_world_model_facts,claude-sonnet-4-20250514,"{quote_unverified,weak_anchor,ambiguous_contact}","This conversation is about a broken door hinge and repair strategy, but contains no specific project identifiers like addresses, client names, or project aliases. Jimmy Chastain has worked on 3 projects (drifter status), but without transcript grounding to any specific project, attribution is impossible.",1741,3483,true,false,,,
gt_0013,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:0,3a017e33-6948-4459-86c7-42cc8c2b7a55,0,,Winship,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.850,v1.12.0_world_model_facts,claude-sonnet-4-20250514,{weak_anchor},"This is a conversation between Zack (HCB staff) and Ron about custom door work. Ron is an anchored contact (fanout=1) exclusively associated with Winship Residence, and the discussion of specialized millwork and door fabrication is consistent with an active construction project.",0,1246,true,false,,,
gt_0014,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:1,50894c0d-d306-401b-9c94-7f2ffb038338,1,,winship,assign,,,review,0.850,v1.12.0_world_model_facts,claude-sonnet-4-20250514,"{weak_anchor,bizdev_without_commitment}","The contact Ron has fanout=1 (anchored), meaning he only works on the Winship Residence project, which is a very strong signal. The transcript discusses detailed door construction work including jambs, stain grade materials, and lumber specifications, which aligns with active construction work. The conversation references both front and back doors with specific material requirements. BizDev prospect gate held project assignment (looking at; commitment_terms=none).",1246,3494,true,false,,,
