row_id,interaction_id,run_interaction_id,span_selector,resolved_span_id,resolved_span_index,expected_project_id,expected_project_name_contains,expected_decision,actual_project_id,actual_project_name,actual_decision,actual_confidence,actual_prompt_version,actual_model_id,actual_reason_codes,actual_reasoning,char_start,char_end,has_expectation,is_correct,error,notes,tags
gt_0004,cll_06E3K1VVKNT435XKDTRBNB8QD0,cll_06E3K1VVKNT435XKDTRBNB8QD0,span_index:0,,,,none,none,,,,,,,,,,,true,false,span_not_found,,
gt_0005,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0006,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:1,,,,permar,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0007,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:0,,,,woodbery,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0008,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:1,,,,woodbery,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0009,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0010,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:1,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0011,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0012,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:1,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0013,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:0,64467637-fafb-4dbb-99b5-72edaadff864,0,,Winship,assign,,,review,0.900,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{weak_anchor,bizdev_without_commitment}","The transcript contains multiple references to details about door construction and materials that strongly suggest this conversation is about the Winship Residence project. The contact, Ron, is anchored to the Winship Residence project, which provides a strong identity signal. While there is no exact project name mentioned, the discussion of using 8/4 material for door styles and rails, and using thinner material for panels, matches the known details of the Winship Residence project. BizDev prospect gate held project assignment (looking at; commitment_terms=none).",0,2356,true,false,,,
gt_0014,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:1,7d1713b9-7660-41c3-961f-e546824bd0be,1,,winship,assign,,,review,0.500,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{weak_anchor,geo_only}","The transcript does not contain any strong anchors like exact project names, addresses, or client names. The contact's identity as a worker on the Winship Residence project is the strongest evidence, but it is not sufficient on its own to make a confident assignment. The discussion about 'gray jams' and scheduling could apply to multiple active projects, so more context is needed to determine the primary topic.",2356,3505,true,false,,,
gt_0015,cll_06E3A4QAMNTRZA5CPVV335PZA8,cll_06E3A4QAMNTRZA5CPVV335PZA8,span_index:0,4637ddea-8a75-4251-9378-d2dcd7710068,0,,winship,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.850,v1.12.0_world_model_facts,claude-3-haiku-20240307,{weak_anchor},"The transcript contains several strong anchors indicating the Winship Residence project, including mentions of 'lou', the contact Ginger Gray who is an anchored contact for that project, and the lack of any clear evidence for another project.",0,873,true,false,,,
