row_id,interaction_id,run_interaction_id,span_selector,resolved_span_id,resolved_span_index,expected_project_id,expected_project_name_contains,expected_decision,actual_project_id,actual_project_name,actual_decision,actual_confidence,actual_prompt_version,actual_model_id,actual_reason_codes,actual_reasoning,char_start,char_end,has_expectation,is_correct,error,notes,tags
gt_0001,cll_06DYSFZRN1R95CXS3X0Y6DPVN4,cll_06DYSFZRN1R95CXS3X0Y6DPVN4,span_index:0,c42fde7d-9456-405b-90ec-aca1deefdf41,0,,permar,assign,ed8e85a2-c79c-4951-aee1-4e17254c06a0,Hurley Residence,assign,0.750,v1.12.0_world_model_facts,claude-3-haiku-20240307,,"The transcript contains multiple references to the 'Hurley' project, including the explicit mention of 'Hurley lady', which is a strong anchor to the Hurley Residence project. There are no conflicting signals from the contact's identity or other project evidence.",0,1826,true,false,,Segmentation appears mangled; char/time offsets NULL. Chad GT: span0 Permar.,bucket:span_purity;bucket:char_offset_missing
gt_0002,cll_06DYSFZRN1R95CXS3X0Y6DPVN4,cll_06DYSFZRN1R95CXS3X0Y6DPVN4,span_index:1,b14ba622-6344-4302-9cce-5ef05968711e,1,,permar,assign,,,review,0.500,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript mentions a budget constraint and a discussion about vinyl windows, but does not explicitly mention any project names, addresses, or clients. The contact's identity as a 'drifter' with 3-4 projects provides a weak signal. Without a clear anchor from the transcript, I cannot confidently assign this conversation to a specific project.",1826,2677,true,false,,Segmentation appears mangled; span starts mid-word. Chad GT: span1 Permar.,bucket:span_purity;bucket:char_offset_missing
gt_0003,cll_06DYSFZRN1R95CXS3X0Y6DPVN4,cll_06DYSFZRN1R95CXS3X0Y6DPVN4,span_index:2,30ba4aa6-9192-482d-9ebc-4bdc3d0b1f4f,2,,hurley,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.750,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript contains multiple explicit mentions of the 'Winship' project, which is a strong anchor for attribution. The contact's moderate project affinity (fanout=3) also supports this match, even though they are not a primary contact for the Winship project.",2677,3563,true,false,,Segmentation appears mangled/multi-project; Chad GT: span2 Hurley.,bucket:span_purity;bucket:char_offset_missing
gt_0004,cll_06E3K1VVKNT435XKDTRBNB8QD0,cll_06E3K1VVKNT435XKDTRBNB8QD0,span_index:0,,,,none,none,,,,,,,,,,,true,false,span_not_found,,
gt_0005,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0006,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:1,,,,permar,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0007,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:0,,,,woodbery,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0008,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:1,,,,woodbery,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0009,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0010,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:1,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0011,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0012,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:1,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0013,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:0,cf3aa0ff-5044-4a7d-b1eb-1a58c3a89876,0,,Winship,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.750,v1.12.0_world_model_facts,claude-3-haiku-20240307,{weak_anchor},The conversation is likely about the Winship Residence project based on the anchored contact (Ron) who is known to work on that project. The discussion around ordering materials and door specifications matches the active work on the Winship Residence.,0,1145,true,false,,,
