row_id,interaction_id,run_interaction_id,span_selector,resolved_span_id,resolved_span_index,expected_project_id,expected_project_name_contains,expected_decision,actual_project_id,actual_project_name,actual_decision,actual_confidence,actual_prompt_version,actual_model_id,actual_reason_codes,actual_reasoning,char_start,char_end,has_expectation,is_correct,error,notes,tags
smoke_01,cll_06DEYZT33XZSBC9DNBH9W72PVC,cll_06DEYZT33XZSBC9DNBH9W72PVC,span_index:0,1868c793-e067-4a93-a3b8-eabd227b4267,0,,,none,,,none,0.250,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor}","The transcript segment provided does not contain any clear references to a specific project. The caller's identity is unknown (fanout=0), providing no project association signal. There are no candidate projects available, and the transcript does not mention any project names, addresses, client names, or other identifying details. Without any strong anchoring evidence from the transcript, I cannot confidently attribute this conversation to a specific project.",0,67,true,true,,auto-smoke baseline from current active span0,smoke_batch
smoke_02,cll_06DEYZXH7DRVV6DTZ04VW9HAF0,cll_06DEYZXH7DRVV6DTZ04VW9HAF0,span_index:0,d81da534-8092-444c-82e9-0ed22f0f9343,0,,,review,,,review,0.500,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor}","The transcript contains only references to 'Sittler', which is an HCB staff name. There are no explicit mentions of project names, addresses, client names, or other strong anchors that would allow me to definitively attribute this conversation to a specific project. The caller's identity is also unknown, providing no project association signal. Without a clear transcript anchor or other strong evidence, I recommend a manual review of this case.",0,515,true,true,,auto-smoke baseline from current active span0,smoke_batch
smoke_03,cll_06DFAKDJ01XEXE3NECHK81W7XW,cll_06DFAKDJ01XEXE3NECHK81W7XW,span_index:0,8ccb960b-067e-4540-9077-a08d74f8c515,0,,,review,,,review,0.500,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor}","The transcript mentions 'Sittler' multiple times, which could refer to any of the three Sittler Residence projects. However, without additional context or evidence beyond the staff name match, I cannot confidently assign this call to a specific project. More information is needed to determine the primary topic of discussion.",0,631,true,true,,auto-smoke baseline from current active span0,smoke_batch
smoke_04,cll_06DFW8NJG5SG90SSW03TTSEWZM,cll_06DFW8NJG5SG90SSW03TTSEWZM,span_index:0,4021d57d-326e-4b5e-ba74-54ce04d453a9,0,cc691114-1599-4562-b42f-77fa3641fe9f,,review,cc691114-1599-4562-b42f-77fa3641fe9f,Sittler Residence (Athens),review,0.750,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript contains several references to 'Sittler', which is a strong anchor to the Sittler Residence (Athens) project. The caller, Malcolm Hetzer, is a floater contact with no clear association to a single project, so his identity is not a strong signal. However, the discussion around the sconces and waiting for the client's husband to provide answers matches the open journal claims for the Sittler Residence (Athens) project, providing additional corroborating evidence.",0,605,true,true,,auto-smoke baseline from current active span0,smoke_batch
smoke_05,cll_06DFW9XWPDSS3972ZW09RJCT5R,cll_06DFW9XWPDSS3972ZW09RJCT5R,span_index:0,e8b53ad1-a298-4a14-95c0-4c542c36a19b,0,159ae416-b397-48a0-97dd-cf1249119715,,review,159ae416-b397-48a0-97dd-cf1249119715,Sittler Residence (Madison),review,0.750,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript refers to 'Zach Sittler' and 'Mike the electrician', which strongly suggests this conversation is about the Sittler Residence (Madison) project. While Randy Booth is a 'floater' contact, the repeated mentions of 'Sittler' and the electrician's involvement are clear anchors to this project.",0,981,true,true,,auto-smoke baseline from current active span0,smoke_batch
smoke_06,cll_06DFWH1J61ZZ348K62J58EZ0WC,cll_06DFWH1J61ZZ348K62J58EZ0WC,span_index:0,8c125fe6-33f4-4083-9a7c-40eff5d3f5a3,0,159ae416-b397-48a0-97dd-cf1249119715,,review,159ae416-b397-48a0-97dd-cf1249119715,Sittler Residence (Madison),review,0.700,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript mentions 'Sittler' multiple times, which matches the Sittler Residence (Madison) project. However, since 'Sittler' is a staff name, this is not sufficient evidence to automatically assign the project. The transcript does not contain any other strong anchors like project name, address, or client name. The journal context for the Sittler Residence (Madison) project provides some corroborating details about flags, the septic tank, and a water guy, but these are not a direct match to the conversation. Overall, the evidence is moderately strong, but not conclusive enough for an automatic assignment.",0,767,true,true,,auto-smoke baseline from current active span0,smoke_batch
smoke_07,cll_06DFWWGDC1SS738KG486YKHM1W,cll_06DFWWGDC1SS738KG486YKHM1W,span_index:0,d08e7586-8819-4b9d-9480-b6c22edf5cce,0,,,none,,,none,0.200,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript is too brief to confidently attribute it to any specific project. The contact, Malcolm Hetzer, is a 'floater' who works on multiple projects, so his identity provides no clear signal. There are no explicit mentions of project names, addresses, or client names in the transcript, and the journal context for the candidate projects does not contain any relevant information. Without a strong anchor from the transcript, I cannot determine which project (if any) this conversation is about.",0,95,true,true,,auto-smoke baseline from current active span0,smoke_batch
smoke_08,cll_06DFWX6DQNYKF4QE46STT6BHZW,cll_06DFWX6DQNYKF4QE46STT6BHZW,span_index:0,84b8b42b-c4da-45a9-b5ca-e708601bc3b8,0,159ae416-b397-48a0-97dd-cf1249119715,,review,159ae416-b397-48a0-97dd-cf1249119715,Sittler Residence (Madison),review,0.750,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript contains multiple references to 'Sittler', which is a strong anchor to the Sittler Residence (Madison) project. Additionally, the conversation mentions going to a 'horse barn', which aligns with the Winship Residence project's journal context about a 'Waggin' Tails Farm'. However, since Zack Sittler is an HCB staff member, the 'Sittler' references alone are not sufficient for a high-confidence assignment. The combination of the 'Sittler' anchor and the corroborating 'horse barn' detail leads to a reasonably confident attribution to the Sittler Residence (Madison) project.",0,1657,true,true,,auto-smoke baseline from current active span0,smoke_batch
smoke_09,cll_06DFWYKYQSW9XASM4M16CAJC80,cll_06DFWYKYQSW9XASM4M16CAJC80,span_index:0,cd82bf8d-c2b8-4a1f-9a62-653fa24013ee,0,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,,review,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.950,v1.8.0,claude-3-haiku-20240307,{weak_anchor},"The transcript mentions 'Lou Winship', who is an anchored contact with the Winship Residence project. The journal for the Winship Residence project also includes recent claims and questions from 'Lou Winship' that align with the content of this brief call transcript.",0,54,true,true,,auto-smoke baseline from current active span0,smoke_batch
smoke_10,cll_06DFWYV90DSTZ6351E3CEPHQ70,cll_06DFWYV90DSTZ6351E3CEPHQ70,span_index:0,ea091bd5-788a-4793-be57-4bb833920377,0,159ae416-b397-48a0-97dd-cf1249119715,,review,159ae416-b397-48a0-97dd-cf1249119715,Sittler Residence (Madison),review,0.900,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The conversation is primarily about the Sittler Residence (Madison) project. The transcript contains multiple explicit references to 'Sittler', which is a clear anchor to this project. Additionally, the discussion about the heat, floors, and a video walkthrough aligns with the active status and phase of the Sittler Residence (Madison) project based on the journal context.",0,1480,true,true,,auto-smoke baseline from current active span0,smoke_batch
