row_id,interaction_id,run_interaction_id,span_selector,resolved_span_id,resolved_span_index,expected_project_id,expected_project_name_contains,expected_decision,actual_project_id,actual_project_name,actual_decision,actual_confidence,actual_prompt_version,actual_model_id,actual_reason_codes,actual_reasoning,char_start,char_end,has_expectation,is_correct,error,notes,tags
gt_0004,cll_06E3K1VVKNT435XKDTRBNB8QD0,cll_06E3K1VVKNT435XKDTRBNB8QD0,span_index:0,af8bbbd3-807e-4c63-999e-13d48ab34557,0,,none,none,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,assign,0.920,v1.12.0_world_model_facts,gpt-4o,,deterministic_homeowner_fallback_after_model_error: json_parse_failed: could not parse LLM output (0 chars),0,1054,true,false,,,
gt_0005,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:0,29fed9c1-57fe-46df-a97f-29a016f05862,0,,winship,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,ambiguous_contact,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),0,896,true,false,,,
gt_0006,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:1,92afe79f-43c6-4bf2-9168-35755f76e6ba,1,,permar,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,ambiguous_contact,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),896,1813,true,false,,,
gt_0007,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:0,4f577fa3-36ec-436e-9cd5-660c42b793b0,0,,woodbery,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,ambiguous_contact,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),0,1967,true,false,,,
gt_0008,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:1,1a1e69d6-6337-484d-aa28-fcc72e7a3016,1,,woodbery,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,ambiguous_contact,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),1967,4060,true,false,,,
gt_0009,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:0,68d45f47-d279-4284-b8a4-56da2e2e936f,0,,winship,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,ambiguous_contact,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),0,1359,true,false,,,
gt_0010,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:1,4829e6e1-02ec-4179-8b03-a69e7c894767,1,,winship,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,ambiguous_contact,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),1359,2718,true,false,,,
gt_0011,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:0,6a5d9efb-db84-4a63-9342-f5c36db82958,0,,winship,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,ambiguous_contact,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),0,1741,true,false,,,
gt_0012,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:1,9b2eaa8d-fc4d-4b5c-bd77-bde594f22968,1,,winship,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,ambiguous_contact,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),1741,3483,true,false,,,
gt_0013,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:0,2bfe9522-3b4e-498e-8c0c-1357fe5f9637,0,,Winship,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),0,552,true,false,,,
gt_0014,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:1,d8fa1c95-5526-4699-b668-7ce8e2567fc1,1,,winship,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),552,3494,true,false,,,
gt_0015,cll_06E3A4QAMNTRZA5CPVV335PZA8,cll_06E3A4QAMNTRZA5CPVV335PZA8,span_index:0,a2c38085-230f-458c-820a-dad058e7fa16,0,,winship,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),0,1815,true,false,,,
gt_0016,cll_06E3A4QAMNTRZA5CPVV335PZA8,cll_06E3A4QAMNTRZA5CPVV335PZA8,span_index:1,bf8e82c2-121f-4902-a536-e18875d74941,1,,winship,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),1815,5459,true,false,,,
gt_0017,cll_06E3A1T135WSF0XV3J64CJFZ3G,cll_06E3A1T135WSF0XV3J64CJFZ3G,span_index:0,33e4c837-4b54-4548-b6a7-87192a7efd68,0,,winship,assign,,,review,0.000,v1.12.0_world_model_facts,gpt-4o,"{quote_unverified,weak_anchor,model_error}",model_error: json_parse_failed: could not parse LLM output (0 chars),0,898,true,false,,,
