row_id,interaction_id,run_interaction_id,span_selector,resolved_span_id,resolved_span_index,expected_project_id,expected_project_name_contains,expected_decision,actual_project_id,actual_project_name,actual_decision,actual_confidence,actual_prompt_version,actual_model_id,actual_reason_codes,actual_reasoning,char_start,char_end,has_expectation,is_correct,error,notes,tags
gt_0004,cll_06E3K1VVKNT435XKDTRBNB8QD0,cll_06E3K1VVKNT435XKDTRBNB8QD0,span_index:0,,,,none,none,,,,,,,,,,,true,false,span_not_found,,
gt_0005,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0006,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:1,,,,permar,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0007,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:0,,,,woodbery,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0008,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:1,,,,woodbery,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0009,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0010,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:1,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0011,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0012,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:1,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0013,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:0,c1cbb2e4-2980-43d5-9009-927559c23411,0,,Winship,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.800,v1.12.0_world_model_facts,claude-3-haiku-20240307,{weak_anchor},"The transcript contains multiple references to 'door' and 'material' that indicate this conversation is likely about the Winship Residence project, which the caller Ron is known to be working on. The contact's anchored status (fanout=1) also provides strong corroborating evidence.",0,1038,true,false,,,
gt_0014,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:1,14d85c73-c8a7-4694-b76a-06d8d6a275dc,1,,winship,assign,,,review,0.850,v1.12.0_world_model_facts,claude-3-haiku-20240307,{bizdev_without_commitment},"The conversation is primarily about the Winship Residence project, as evidenced by the anchor quote 'that jam's about worthless because it's got that old copper weather stripping on it', which refers to a specific issue with an existing door jamb. The caller's identity as the primary contact for the Winship Residence project, along with the discussion of door styles and materials, further supports this attribution. BizDev prospect gate held project assignment (looking at; commitment_terms=none).",1038,3495,true,false,,,
gt_0015,cll_06E3A4QAMNTRZA5CPVV335PZA8,cll_06E3A4QAMNTRZA5CPVV335PZA8,span_index:0,b9fe96f8-d251-46f6-a689-8fbe9e8b79cd,0,,winship,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.750,v1.12.0_world_model_facts,claude-3-haiku-20240307,{weak_anchor},"The transcript contains several strong anchors indicating the conversation is about the Winship Residence project. Specifically, it mentions 'lou' and the caller's name 'Ginger Gray', who is known to work on the Winship Residence project.",0,665,true,false,,,
