row_id,interaction_id,span_index,span_id,expected_project_id,expected_project_name_contains,expected_decision,notes,tags
gt_0001,cll_06DYSFZRN1R95CXS3X0Y6DPVN4,0,,,permar,assign,Segmentation appears mangled; char/time offsets NULL. Chad GT: span0 Permar.,bucket:span_purity;bucket:char_offset_missing
gt_0002,cll_06DYSFZRN1R95CXS3X0Y6DPVN4,1,,,permar,assign,Segmentation appears mangled; span starts mid-word. Chad GT: span1 Permar.,bucket:span_purity;bucket:char_offset_missing
gt_0003,cll_06DYSFZRN1R95CXS3X0Y6DPVN4,2,,,hurley,assign,Segmentation appears mangled/multi-project; Chad GT: span2 Hurley.,bucket:span_purity;bucket:char_offset_missing
gt_0004,cll_06E3K1VVKNT435XKDTRBNB8QD0,0,,,none,none,,
gt_0005,cll_06E3HS7S75RQK080ZN7K9Q84B0,0,,,winship,assign,,
gt_0006,cll_06E3HS7S75RQK080ZN7K9Q84B0,1,,,permar,assign,,
gt_0007,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,0,,,woodbery,assign,,
gt_0008,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,1,,,woodbery,assign,,
gt_0009,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,0,,,winship,assign,,
gt_0010,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,1,,,winship,assign,,
gt_0011,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,0,,,winship,assign,,
gt_0012,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,1,,,winship,assign,,
gt_0013,cll_06E3A9094NX6N25F8TQXEPH3YG,0,,,Winship,assign,,
gt_0014,cll_06E3A9094NX6N25F8TQXEPH3YG,1,,,winship,assign,,
gt_0015,cll_06E3A4QAMNTRZA5CPVV335PZA8,0,,,winship,assign,,
gt_0016,cll_06E3A4QAMNTRZA5CPVV335PZA8,1,,,winship,assign,,
gt_0017,cll_06E3A1T135WSF0XV3J64CJFZ3G,0,,,winship,assign,,
gt_0018,cll_06E39KQRPDSAZ0B88TX3ZN87T8,0,,,winship,assign,,
gt_0019,cll_06E39KQRPDSAZ0B88TX3ZN87T8,1,,,winship,assign,,
gt_0020,cll_06E39P8TGHVQD0P1NEFDFZ5X9W,0,,,winship,assign,,
gt_0021,cll_06E39P95SHVQDEZ5KH1GZV2X04,0,,,none,none,,
gt_0022,cll_06E37X99FHT1X1VB9SZNBR67MR,0,,,winship,assign,,
gt_0023,cll_06E37X99FHT1X1VB9SZNBR67MR,1,,,winship,assign,,
gt_0024,cll_06E379H5W9WY581M5W62M05TRG,0,,,woodbery,assign,,
gt_0025,cll_06E379H5W9WY581M5W62M05TRG,1,,,woodbery,assign,,
