row_id,interaction_id,run_interaction_id,span_selector,resolved_span_id,resolved_span_index,expected_project_id,expected_project_name_contains,expected_decision,actual_project_id,actual_project_name,actual_decision,actual_confidence,actual_prompt_version,actual_model_id,actual_reason_codes,actual_reasoning,char_start,char_end,has_expectation,is_correct,error,notes,tags
cll_06E3HG24Q9YM7BGK44NCQRV2Z8_s0,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:0,20e4f3d8-a56e-4972-b0b6-22613f8ea54e,0,,Woodbery,,,,review,0.500,v1.11.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript contains references to 'thermal' siding and 'japanese' siding, but does not mention any specific project names, addresses, or client names. The contact, Flynt Treadaway, is a 'floater' who works on multiple projects, so his identity is not a strong attribution signal. There is no clear project match based on the transcript alone, and the journal and email context are not sufficient to determine the primary topic of discussion.",0,1454,true,false,,"Flynt: hey i pulled up that japanese siding you asked me about / looked at it online i see what it is / but unless it's really gotta be knotty / Flynt: i can probably get this accoya wood that's just about the same thing / Zack: yeah the homeowner just wants a really natural looking wood she doesn't want painted cement board / Flynt: thermal wood? / Zack: yeah it's more brownish in color / (379 words — japanese siding, accoya wood, thermal wood, homeowner wants natural black look not painted cement board)",subset:woodbery_gt_project
cll_06E3HG24Q9YM7BGK44NCQRV2Z8_s1,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:1,26a8b522-79ff-4cdc-a3ff-4e64d63d156d,1,,Woodbery,,,,none,0.400,v1.11.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript does not contain any direct mentions of project names, addresses, or client names. The contact, Flynt Treadaway, is a floater (works on 7 projects) which provides no strong identity signal. While the conversation mentions 'japanese stuff' and lumber, this is not enough evidence to definitively attribute the call to a specific project. More context is needed to make a confident assignment.",1454,1844,true,false,,"Zack: it might be too niche-y for any big vendor... i might have to find some random small direct to consumer vendor / Flynt: i'll check it out here in the next week or so / it reminds me a lot of solar thermal / Zack: it's giving you the rot resistant bug resistant aspect of it / Flynt: where they dry it in the kiln all the stuff out of the wood where bugs aren't getting into it / Zack: yeah okay thanks blaine / (397 words — continuation of siding sourcing discussion, rot/bug resistance, kiln-dried wood — same project as span 0)",subset:woodbery_gt_project
cll_06E46MKR29Y9X81BK52JJAM9TG_s0,cll_06E46MKR29Y9X81BK52JJAM9TG,cll_06E46MKR29Y9X81BK52JJAM9TG,span_index:0,7b6e510c-736c-4ace-a6ab-d8396fb5222e,0,,Woodbery,,d8091a15-6a69-4634-8d5b-117abea35aa6,Permar Residence,review,0.800,v1.8.0,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript contains multiple references to 'Sparta' and 'Bethany', which match the Permar Residence project located in Sparta, GA. The contact, Zack Sittler, is a 'floater' who works on many projects, so his identity alone is not a strong attribution signal. However, the specific mentions of Sparta and Bethany provide strong evidence that this conversation is about the Permar Residence project.",0,1137,true,false,,Three by six timber stuff... did she say anything about...,subset:woodbery_gt_project
cll_06E46MKR29Y9X81BK52JJAM9TG_s1,cll_06E46MKR29Y9X81BK52JJAM9TG,cll_06E46MKR29Y9X81BK52JJAM9TG,span_index:1,0b01457b-7315-424f-9382-3ecc93701fca,1,,Woodbery,,cc691114-1599-4562-b42f-77fa3641fe9f,Sittler Residence (Athens),review,0.750,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript contains multiple references to 'Zack Sittler', which indicates the Sittler Residence (Athens) project based on the staff name match. This is further supported by the prior journal context for that project, which mentions Zack having to address something.",1137,2275,true,false,,If she does not want those timbers to go all the way in,subset:woodbery_gt_project
cll_06E47E38KNSG5909WX2JDDENHC_s1,cll_06E47E38KNSG5909WX2JDDENHC,cll_06E47E38KNSG5909WX2JDDENHC,span_index:1,97fcbd0c-200f-4ff0-bd1e-4281f2479534,1,,Woodbery,,,,review,0.500,v1.11.0,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript does not contain any strong anchors like exact project names, addresses, or client names. The only potentially relevant evidence is the discussion of using tongue-and-groove or other materials, which could relate to several active projects. However, the contact, Zack Sittler, is a floater with affiliation to multiple projects, so his identity is not a reliable signal. Without a clear transcript-based anchor, I cannot confidently assign this call to a specific project.",1566,1975,true,false,,Inside the porches... I kinda feel like that's...,subset:woodbery_gt_project
cll_06E47E38KNSG5909WX2JDDENHC_s2,cll_06E47E38KNSG5909WX2JDDENHC,cll_06E47E38KNSG5909WX2JDDENHC,span_index:2,4f674a88-8012-415c-83af-571277101a70,2,,Woodbery,,,,none,0.350,v1.11.0,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript does not contain any direct mentions of project names, addresses, client names, or other strong anchors. The contact, Zack Sittler, is a floater (12 projects) which provides an anti-signal for attribution. There is also no relevant journal context that would support assigning this conversation to a specific project. Overall, the evidence is too weak to confidently assign this to any single project.",1975,2208,true,false,,She needs to decide... architect dictate it... tongue and groove,subset:woodbery_gt_project
cll_06E47JAHBHSSXA44A650DZ6GF0_s0,cll_06E47JAHBHSSXA44A650DZ6GF0,cll_06E47JAHBHSSXA44A650DZ6GF0,span_index:0,ae6f6496-82a1-485b-87bb-f9befac7d23a,0,,Woodbery,,,,review,0.000,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact,model_error}","model_error: Expected ',' or '}' after property value in JSON at position 167 (line 5 column 64)",0,623,true,false,,I had a horse in my hand... looking over greg's email,subset:woodbery_gt_project
cll_06E47KQGN1SYDA3962CHHX2YY4_s0,cll_06E47KQGN1SYDA3962CHHX2YY4,cll_06E47KQGN1SYDA3962CHHX2YY4,span_index:0,4158f96a-4877-4b24-99cc-b3accbfd7877,0,,Woodbery,,,,review,0.000,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact,model_error}","model_error: Expected ',' or '}' after property value in JSON at position 156 (line 5 column 53)",0,401,true,false,,Bad service for ten more minutes... can i call you when i get stopped,subset:woodbery_gt_project
cll_06E4GKKYX9RAD8YPPTX58737G8_s0,cll_06E4GKKYX9RAD8YPPTX58737G8,cll_06E4GKKYX9RAD8YPPTX58737G8,span_index:0,2ead5db9-4d7d-430a-9cd1-3f1d0e6268b5,0,,Woodbery,,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,assign,0.800,v1.11.0,claude-3-haiku-20240307,,"The transcript mentions 'Bethany' and 'Bethany Road', which match the address of the Winship Residence project. Additionally, the project journal indicates there are active commitments and updates related to Zack Sittler visiting the Bethany Road site, further corroborating this as the project being discussed.",0,1765,true,false,,Guy on a blower... sent you those pictures again,subset:woodbery_gt_project
cll_06E4GKKYX9RAD8YPPTX58737G8_s1,cll_06E4GKKYX9RAD8YPPTX58737G8,cll_06E4GKKYX9RAD8YPPTX58737G8,span_index:1,3f8f4280-277b-4f6d-9699-55135d09f041,1,,Woodbery,,,,review,0.700,v1.11.0,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact,bizdev_without_commitment}","The conversation appears to be focused on discussing design details and construction challenges for a project, with references to a 'vault' in the ceiling and the need to adjust the roof pitch. The journal context for the Winship Residence project indicates recent updates and commitments related to the homeowner and Zack Sittler's involvement, which aligns with the discussion. While the contact (Brian Dove) is a 'floater' who works on multiple projects, the transcript contains specific quotes that corroborate this project attribution. BizDev prospect gate held project assignment (looking at; commitment_terms=none).",1765,3609,true,false,,Upper sitting room... vaulted ceiling... roof system,subset:woodbery_gt_project
